feature,importance
days_since_halving,505
btc_close_ma200,200
btc_ma200_pct,137
btc_vol_60d,124
dxy_close,110
btc_close_ma90,108
btc_ma90_pct,99
hashrate,98
btc_vol_30d,93
log_oil_close,91
btc_nasdaq_ratio,90
oil_close,89
btc_close_ma50,84
nasdaq_volume,74
btc_oil_ratio,73
btc_close_lag60,73
macd_signal,64
nasdaq_close,60
krw_close,56
sp500_close,54
log_dxy_close,54
sp500_close_ret30d,51
log_nasdaq_close,49
gold_close,47
oil_close_ret30d,42
btc_sp500_ratio,39
btc_close_ma30,38
log_sp500_close,34
btc_gold_ratio,33
btc_close_ret7d,33
macd,32
btc_ma30_pct,31
sp500_volume,31
log_krw_close,28
btc_gold_corr30,27
bb_upper,26
btc_volume,26
bb_lower,24
btc_close_ma14,22
log_gold_close,21
btc_close_lag90,19
nasdaq_close_ret30d,18
event_covid_crash,17
btc_oil_corr30,15
bb_width,13
log_btc_close,11
btc_close_lag1,10
dxy_close_ret30d,8
btc_close_lag30,8
btc_close_lag7,8
rsi_14,7
krw_close_ret30d,7
btc_nasdaq_corr30,7
btc_close_lag14,6
btc_close_ret30d,6
btc_sp500_corr30,6
btc_close_ma7,6
fear_greed,3
bb_position,2
macd_hist,2
oil_volume,1
gold_close_ret30d,1
halving_era,1
btc_above_ma200,1
event_china_btc_ban,1
btc_vol_7d,0
btc_above_ma30,0
gold_volume,0
dxy_volume,0
gold_close_ret7d,0
oil_close_ret1d,0
oil_close_ret7d,0
btc_above_ma90,0
event_ukraine_war,0
btc_close_ret1d,0
krw_close_ret7d,0
event_luna_terra_crash,0
sp500_close_ret7d,0
event_ftx_collapse,0
nasdaq_close_ret1d,0
event_spot_btc_etf,0
event_us_election_2024,0
nasdaq_close_ret7d,0
dxy_close_ret1d,0
dxy_close_ret7d,0
krw_close_ret1d,0
gold_close_ret1d,0
sp500_close_ret1d,0
