feature,importance
halving_era,0.13937838
log_oil_close,0.09656116
oil_close,0.06768164
days_since_halving,0.06709462
btc_close_ma7,0.064559646
btc_close_ma14,0.057431906
btc_close_ma90,0.041144848
btc_gold_ratio,0.034271438
btc_close_lag1,0.033248436
log_krw_close,0.030856896
btc_nasdaq_ratio,0.019700684
log_nasdaq_close,0.019649776
bb_lower,0.018255597
nasdaq_close,0.018081712
btc_close_ma200,0.017685257
btc_sp500_ratio,0.016374595
log_gold_close,0.015973434
bb_upper,0.01575022
krw_close,0.014823263
btc_close_lag90,0.014273704
log_dxy_close,0.014249591
btc_close_ma30,0.014167894
gold_close,0.014071419
btc_close_ma50,0.013865393
dxy_close,0.010907435
log_btc_close,0.010165665
event_covid_crash,0.009862917
btc_close_lag14,0.009495583
btc_above_ma90,0.008755005
btc_close_lag60,0.007320589
sp500_close,0.00720887
btc_above_ma200,0.0068587908
btc_close_lag7,0.0063108583
log_sp500_close,0.006213592
btc_oil_ratio,0.00613894
hashrate,0.0051232832
btc_vol_60d,0.0046963515
oil_close_ret30d,0.004505254
btc_close_lag30,0.003210557
macd,0.0031201742
btc_volume,0.00305139
btc_ma200_pct,0.0030505483
macd_hist,0.002640578
macd_signal,0.002253862
btc_ma90_pct,0.0022278656
btc_vol_7d,0.0019097169
nasdaq_close_ret30d,0.0015865559
btc_vol_30d,0.0015306972
btc_ma30_pct,0.0014624719
rsi_14,0.0010186381
btc_close_ret30d,0.0009933927
dxy_close_ret30d,0.0008839283
sp500_close_ret30d,0.00084736856
btc_nasdaq_corr30,0.0006718727
oil_volume,0.00060942484
bb_width,0.0005963335
nasdaq_volume,0.00055068533
btc_close_ret7d,0.0005284804
btc_gold_corr30,0.0005252252
btc_oil_corr30,0.0005114145
krw_close_ret30d,0.000503912
bb_position,0.0004980759
gold_close_ret7d,0.0004575923
gold_close_ret30d,0.0003796586
btc_sp500_corr30,0.0003376279
oil_close_ret7d,0.00020125379
gold_volume,0.00017510967
nasdaq_close_ret7d,0.00016184863
sp500_close_ret7d,0.0001519639
sp500_volume,0.0001492305
oil_close_ret1d,0.000117998505
dxy_close_ret1d,0.000116481846
dxy_close_ret7d,9.076558e-05
krw_close_ret7d,8.787417e-05
btc_close_ret1d,6.490915e-05
gold_close_ret1d,9.908954e-06
nasdaq_close_ret1d,0.0
dxy_volume,0.0
event_china_btc_ban,0.0
event_luna_terra_crash,0.0
event_ukraine_war,0.0
btc_above_ma30,0.0
krw_close_ret1d,0.0
event_ftx_collapse,0.0
event_spot_btc_etf,0.0
event_us_election_2024,0.0
sp500_close_ret1d,0.0
