feature,importance
days_since_halving,738
btc_close_ma200,255
btc_ma200_pct,182
btc_close_ma90,140
hashrate,123
dxy_close,120
btc_ma90_pct,115
oil_close,108
log_oil_close,99
gold_close,99
btc_close_ma50,93
btc_nasdaq_ratio,91
btc_close_lag90,85
log_gold_close,71
log_dxy_close,70
krw_close,65
btc_gold_ratio,57
btc_sp500_ratio,48
btc_oil_ratio,41
log_krw_close,38
bb_lower,35
log_nasdaq_close,33
btc_vol_60d,32
btc_close_ma14,31
sp500_close,30
nasdaq_close,28
nasdaq_volume,23
btc_vol_30d,23
btc_close_lag60,22
btc_close_ret30d,21
log_sp500_close,21
btc_close_ma30,18
gold_close_ret30d,17
bb_upper,16
btc_close_ma7,15
log_btc_close,15
macd_signal,12
fear_greed,12
btc_nasdaq_corr30,12
btc_volume,8
btc_close_lag1,8
btc_close_lag30,8
btc_sp500_corr30,6
dxy_close_ret30d,6
krw_close_ret7d,5
nasdaq_close_ret30d,3
btc_close_lag7,2
halving_era,2
bb_width,2
macd,2
btc_close_lag14,1
sp500_close_ret30d,1
krw_close_ret30d,1
btc_ma30_pct,1
btc_above_ma200,1
event_luna_terra_crash,0
sp500_volume,0
btc_above_ma90,0
btc_above_ma30,0
btc_oil_corr30,0
event_ukraine_war,0
oil_volume,0
event_ftx_collapse,0
event_china_btc_ban,0
event_spot_btc_etf,0
event_covid_crash,0
event_us_election_2024,0
gold_volume,0
dxy_volume,0
gold_close_ret7d,0
btc_gold_corr30,0
bb_position,0
oil_close_ret7d,0
oil_close_ret30d,0
gold_close_ret1d,0
sp500_close_ret7d,0
nasdaq_close_ret1d,0
nasdaq_close_ret7d,0
dxy_close_ret1d,0
dxy_close_ret7d,0
krw_close_ret1d,0
btc_vol_7d,0
btc_close_ret7d,0
btc_close_ret1d,0
rsi_14,0
macd_hist,0
oil_close_ret1d,0
sp500_close_ret1d,0
