feature,importance
btc_above_ma200,0.10363329
days_since_halving,0.086750284
log_oil_close,0.06850749
btc_close_lag30,0.06600253
hashrate,0.05716458
oil_close,0.044789635
btc_close_ma90,0.0401442
dxy_close,0.036923677
log_nasdaq_close,0.03495209
btc_close_ma14,0.031650037
log_dxy_close,0.029599123
bb_lower,0.028276736
sp500_close,0.025676597
btc_gold_ratio,0.02222328
nasdaq_close,0.01960508
btc_volume,0.018660579
btc_close_ma50,0.018617118
btc_close_lag60,0.01701796
btc_close_lag90,0.014848119
btc_close_ma200,0.0146267805
btc_close_ma7,0.013403075
gold_close,0.012584384
krw_close,0.012421452
btc_ma200_pct,0.011653376
btc_vol_7d,0.01144887
log_sp500_close,0.011211008
log_btc_close,0.010594549
log_gold_close,0.009707242
oil_close_ret30d,0.008997926
btc_sp500_ratio,0.008581316
btc_ma90_pct,0.008152186
log_krw_close,0.008061931
btc_nasdaq_ratio,0.0061558755
bb_width,0.0053731757
macd_signal,0.005364721
macd,0.0052542067
dxy_close_ret30d,0.0050697816
btc_vol_30d,0.004577402
nasdaq_volume,0.0042709303
btc_close_lag7,0.004212676
btc_close_ma30,0.0038909765
btc_oil_corr30,0.0037365926
btc_close_ret30d,0.003303709
btc_close_lag1,0.0032264749
btc_oil_ratio,0.0027634494
btc_gold_corr30,0.002607623
bb_position,0.0024726463
btc_ma30_pct,0.0023961794
bb_upper,0.0022883362
oil_close_ret7d,0.0020966204
btc_sp500_corr30,0.0019371313
krw_close_ret30d,0.0019256603
gold_close_ret30d,0.0018790243
btc_close_lag14,0.0017031117
sp500_close_ret30d,0.0016293188
btc_vol_60d,0.0014359622
gold_close_ret7d,0.0014207718
rsi_14,0.0013037949
btc_nasdaq_corr30,0.0012684298
nasdaq_close_ret30d,0.0011909486
btc_close_ret7d,0.0011118312
gold_volume,0.00097105396
macd_hist,0.00089439296
dxy_close_ret7d,0.0008746034
krw_close_ret7d,0.00069301866
oil_volume,0.0005578274
btc_above_ma30,0.0005324959
sp500_volume,0.000519767
oil_close_ret1d,0.00041380402
krw_close_ret1d,0.00039756298
sp500_close_ret7d,0.0003931467
nasdaq_close_ret7d,0.00038386558
nasdaq_close_ret1d,0.00030359667
sp500_close_ret1d,0.0002772433
btc_close_ret1d,0.00016620364
gold_close_ret1d,0.00015227777
dxy_close_ret1d,0.00011521837
event_spot_btc_etf,0.0
event_us_election_2024,0.0
btc_above_ma90,0.0
event_luna_terra_crash,0.0
event_ukraine_war,0.0
event_china_btc_ban,0.0
event_covid_crash,0.0
dxy_volume,0.0
halving_era,0.0
event_ftx_collapse,0.0
