feature,importance
days_since_halving,454
btc_ma200_pct,163
btc_close_ma200,161
oil_close,156
btc_close_ma90,134
hashrate,115
log_oil_close,88
btc_nasdaq_ratio,87
btc_vol_30d,83
btc_ma90_pct,74
btc_close_lag60,74
btc_vol_60d,74
gold_close,74
dxy_close,71
btc_close_ma50,70
oil_close_ret30d,60
btc_oil_corr30,55
btc_close_lag30,54
btc_close_lag90,53
btc_ma30_pct,52
macd_signal,51
krw_close,48
btc_close_ma30,47
oil_close_ret7d,41
log_dxy_close,40
gold_close_ret30d,40
log_gold_close,38
nasdaq_close,38
bb_lower,36
krw_close_ret30d,35
btc_nasdaq_corr30,35
btc_oil_ratio,34
gold_close_ret7d,33
macd,33
btc_gold_corr30,33
log_krw_close,32
log_nasdaq_close,32
btc_gold_ratio,29
sp500_close,27
btc_sp500_ratio,25
btc_close_ret30d,24
rsi_14,19
btc_close_ma14,17
log_btc_close,16
bb_width,16
dxy_close_ret30d,16
bb_upper,15
btc_close_ret7d,15
gold_volume,14
fear_greed,13
btc_close_ma7,12
btc_vol_7d,12
bb_position,11
oil_volume,11
nasdaq_volume,11
btc_close_lag1,11
krw_close_ret7d,11
nasdaq_close_ret30d,9
btc_close_lag14,8
btc_above_ma200,5
dxy_close_ret7d,5
nasdaq_close_ret7d,5
sp500_close_ret30d,5
btc_sp500_corr30,4
log_sp500_close,4
btc_volume,4
macd_hist,4
sp500_close_ret7d,2
event_covid_crash,2
sp500_volume,1
btc_close_lag7,1
halving_era,1
event_spot_btc_etf,0
dxy_volume,0
event_china_btc_ban,0
event_ukraine_war,0
event_luna_terra_crash,0
event_ftx_collapse,0
btc_above_ma90,0
event_us_election_2024,0
krw_close_ret1d,0
btc_above_ma30,0
btc_close_ret1d,0
gold_close_ret1d,0
oil_close_ret1d,0
nasdaq_close_ret1d,0
dxy_close_ret1d,0
sp500_close_ret1d,0
