feature,importance
halving_era,0.04704303
btc_close_ma90,0.041201096
days_since_halving,0.03517733
btc_close_ma30,0.03216456
btc_close_lag60,0.03189457
nasdaq_close,0.030104682
btc_close_lag7,0.027522285
btc_close_ma200,0.026406573
log_oil_close,0.025276873
btc_ma90_pct,0.022747407
oil_close,0.022016441
btc_close_lag1,0.021955645
btc_above_ma90,0.021098556
btc_above_ma200,0.020698717
hashrate,0.020536551
btc_close_ma14,0.019878343
log_btc_close,0.019661687
btc_close_lag90,0.018810065
macd,0.017826373
btc_close_ma50,0.017639646
oil_close_ret30d,0.016291108
bb_upper,0.016284218
btc_close_lag30,0.01607516
krw_close,0.015716843
macd_signal,0.015476299
btc_close_ma7,0.0154703325
log_gold_close,0.015122029
sp500_close,0.014185372
btc_gold_corr30,0.014178534
btc_close_ret30d,0.012377297
btc_sp500_ratio,0.012237485
log_krw_close,0.012230124
bb_lower,0.012221597
oil_close_ret7d,0.012207256
gold_close,0.011744664
btc_vol_30d,0.011197923
nasdaq_volume,0.011023046
dxy_close,0.010899522
bb_width,0.010399827
btc_ma200_pct,0.010390246
btc_gold_ratio,0.010169097
log_dxy_close,0.0100113815
btc_nasdaq_ratio,0.009868817
btc_oil_corr30,0.009307612
sp500_close_ret30d,0.008525736
fear_greed,0.008229326
btc_oil_ratio,0.008004792
log_nasdaq_close,0.00784717
gold_close_ret30d,0.007829613
log_sp500_close,0.0077166753
macd_hist,0.007716362
btc_vol_60d,0.0074702725
btc_nasdaq_corr30,0.0072889086
btc_ma30_pct,0.0072844415
btc_close_lag14,0.0071549336
krw_close_ret30d,0.0069731534
rsi_14,0.0061623645
nasdaq_close_ret30d,0.006144095
btc_volume,0.0059177075
event_luna_terra_crash,0.0055932263
bb_position,0.0053979014
dxy_close_ret30d,0.0047871596
oil_volume,0.0046927617
gold_volume,0.004357656
btc_close_ret7d,0.0041888133
gold_close_ret7d,0.0039109634
btc_above_ma30,0.0036610577
btc_vol_7d,0.0036183458
btc_sp500_corr30,0.0036099872
nasdaq_close_ret7d,0.003528236
dxy_close_ret7d,0.003327031
krw_close_ret7d,0.00316822
btc_close_ret1d,0.0031430577
sp500_volume,0.0027095801
sp500_close_ret7d,0.002581942
sp500_close_ret1d,0.0017305606
dxy_close_ret1d,0.0009817453
event_us_election_2024,0.0
event_spot_btc_etf,0.0
oil_close_ret1d,0.0
event_ukraine_war,0.0
event_china_btc_ban,0.0
event_covid_crash,0.0
dxy_volume,0.0
gold_close_ret1d,0.0
nasdaq_close_ret1d,0.0
krw_close_ret1d,0.0
event_ftx_collapse,0.0
