feature,importance
days_since_halving,0.2975861992324207
btc_gold_ratio,0.056045708673282485
btc_ma90_pct,0.05147415316150991
btc_close_ma30,0.042670783600361216
btc_vol_30d,0.040126959916087376
oil_close_ret30d,0.036921801239665604
log_dxy_close,0.033743901702647724
btc_close_ma200,0.033330171134799115
dxy_close,0.031480525636632686
btc_close_ma90,0.030667647140313656
btc_ma200_pct,0.03021205476332014
btc_gold_corr30,0.02915543938684151
btc_close_lag90,0.015030072126714932
btc_vol_60d,0.014116435458251473
macd_signal,0.012937865037251792
btc_nasdaq_ratio,0.012423515355269605
btc_nasdaq_corr30,0.012169025672636237
btc_close_ma14,0.012052210758029711
btc_oil_ratio,0.011066294896093112
btc_close_lag60,0.010448780757256155
bb_lower,0.009663530092884835
btc_oil_corr30,0.009439036744632617
macd_hist,0.009193353094777383
dxy_close_ret30d,0.008469600581977405
krw_close,0.008183966389216245
gold_close_ret30d,0.008118304966718169
btc_volume,0.007858083913226465
krw_close_ret30d,0.007809024935570275
log_gold_close,0.007720029122237463
btc_close_ma50,0.007677924244647061
gold_close,0.0073622227870933435
log_oil_close,0.007031102095872048
nasdaq_close_ret30d,0.006841427774984399
log_krw_close,0.006663842039640331
bb_upper,0.006657897713994461
oil_close,0.00647913895001321
macd,0.006341963178584713
log_sp500_close,0.004014506012435962
btc_close_ret30d,0.0038888900776952932
btc_close_lag30,0.003714816195932578
bb_width,0.003529945001032625
nasdaq_close,0.003517774089753733
log_nasdaq_close,0.0033154774451196333
sp500_close,0.002956925343636817
fear_greed,0.002671700908436867
hashrate,0.002200031477920836
sp500_close_ret30d,0.0021885020291068816
rsi_14,0.002155861240376831
nasdaq_volume,0.0020810158304056105
btc_ma30_pct,0.002021623030977896
log_btc_close,0.0019360530318963457
gold_volume,0.0014730084962268713
btc_sp500_corr30,0.0014702324101597511
btc_close_ma7,0.0012863245878942987
gold_close_ret7d,0.0011884818646184017
btc_vol_7d,0.0011789529691244769
oil_volume,0.0009794707843212914
btc_close_lag14,0.0008568929714631609
event_luna_terra_crash,0.0008561475013582354
btc_close_lag1,0.0007720834964602633
dxy_close_ret7d,0.0007655561103878839
krw_close_ret7d,0.0005554559465046111
btc_close_lag7,0.0005184371312325914
bb_position,0.0004599233813055437
nasdaq_close_ret7d,0.00044009265704475096
oil_close_ret7d,0.0003884631823456806
btc_sp500_ratio,0.00038250938799312006
sp500_volume,0.0002923939430534326
sp500_close_ret7d,0.00028798424512209154
btc_close_ret7d,0.0002732085933541818
btc_above_ma200,0.00016700241818976073
halving_era,3.410722388048334e-05
event_covid_crash,5.147625634185229e-06
sp500_close_ret1d,5.007082141627831e-06
oil_close_ret1d,0.0
gold_close_ret1d,0.0
nasdaq_close_ret1d,0.0
event_ftx_collapse,0.0
btc_above_ma90,0.0
btc_above_ma30,0.0
event_spot_btc_etf,0.0
dxy_volume,0.0
krw_close_ret1d,0.0
event_china_btc_ban,0.0
event_us_election_2024,0.0
event_ukraine_war,0.0
btc_close_ret1d,0.0
dxy_close_ret1d,0.0
