feature,importance
btc_above_ma200,0.1330652
days_since_halving,0.058727197
btc_close_lag1,0.053155456
btc_close_lag30,0.046205517
btc_close_ma7,0.042198025
halving_era,0.041657288
log_oil_close,0.04072949
btc_volume,0.034880072
btc_close_ma90,0.03458913
btc_close_ma30,0.031277712
log_btc_close,0.02800188
dxy_close,0.02429779
oil_close,0.02376867
btc_close_ma200,0.023116127
gold_close,0.02034397
btc_gold_ratio,0.019790873
nasdaq_volume,0.019788153
hashrate,0.019231183
btc_ma90_pct,0.018937666
log_dxy_close,0.018704036
log_nasdaq_close,0.016399072
log_krw_close,0.015734624
btc_close_ma50,0.014683251
krw_close,0.01372747
btc_ma200_pct,0.011423487
nasdaq_close,0.010736298
sp500_close,0.010270035
oil_close_ret30d,0.010160085
btc_above_ma90,0.0094588995
btc_vol_30d,0.009406431
log_gold_close,0.009347581
btc_sp500_ratio,0.008989014
btc_close_lag90,0.008323849
btc_oil_corr30,0.007775102
macd,0.0075103645
btc_nasdaq_ratio,0.0074951253
log_sp500_close,0.007231949
bb_upper,0.0070874975
btc_oil_ratio,0.0063899583
btc_close_ma14,0.0056713438
dxy_close_ret30d,0.0051975786
btc_gold_corr30,0.0047781733
btc_ma30_pct,0.004353663
btc_close_lag7,0.0042769816
bb_lower,0.0042720865
btc_close_ret30d,0.0041951835
macd_signal,0.0038014601
btc_close_lag60,0.0033237552
btc_sp500_corr30,0.0027865411
gold_close_ret30d,0.0027762041
btc_vol_60d,0.002652313
bb_width,0.0026241133
macd_hist,0.0025055949
nasdaq_close_ret30d,0.002478467
btc_nasdaq_corr30,0.0023172174
sp500_close_ret30d,0.001858114
btc_vol_7d,0.0015420663
btc_above_ma30,0.0012341685
btc_close_ret7d,0.0010868948
krw_close_ret30d,0.0010475653
bb_position,0.0009833248
rsi_14,0.0009547063
sp500_volume,0.0009045046
gold_close_ret7d,0.0008985754
gold_volume,0.0007947956
nasdaq_close_ret7d,0.00064539147
oil_close_ret7d,0.00061557686
oil_volume,0.00058997
btc_close_lag14,0.00055098085
sp500_close_ret7d,0.0004954961
krw_close_ret7d,0.00045050768
btc_close_ret1d,0.0004058796
dxy_close_ret7d,0.0003798775
gold_close_ret1d,0.0003657479
dxy_close_ret1d,0.00031183154
sp500_close_ret1d,0.0002723941
oil_close_ret1d,0.00027105206
event_covid_crash,0.0002503564
krw_close_ret1d,0.0002496101
nasdaq_close_ret1d,0.00021444094
dxy_volume,0.0
event_china_btc_ban,0.0
event_ukraine_war,0.0
event_luna_terra_crash,0.0
event_ftx_collapse,0.0
event_spot_btc_etf,0.0
event_us_election_2024,0.0
