feature,importance
days_since_halving,0.407677907914053
oil_close,0.20162520603051934
log_oil_close,0.20155206692815478
dxy_close,0.043637455415324954
log_dxy_close,0.03529481085513556
btc_vol_60d,0.015732109526911557
btc_vol_30d,0.013743280557022605
btc_nasdaq_ratio,0.012696743761638755
btc_ma200_pct,0.00521295894306261
gold_close,0.005084976718918585
log_gold_close,0.004341530474619376
btc_close_ma200,0.003936600317091467
btc_close_lag30,0.003780904158425773
bb_upper,0.003451899315649612
log_nasdaq_close,0.003193251945631434
nasdaq_close,0.0030259130457851884
btc_ma90_pct,0.002980715045283275
btc_oil_corr30,0.002329688413711674
hashrate,0.002118885774580372
bb_lower,0.002023449544956657
btc_close_ma50,0.001976412288540812
btc_close_ma90,0.0018575614584842085
btc_close_ma30,0.0016219335892328278
log_btc_close,0.0015877242319772712
log_krw_close,0.001582041036195416
btc_sp500_ratio,0.0013334952487537577
krw_close,0.001295359571004417
btc_gold_ratio,0.0011873455876844042
btc_oil_ratio,0.0011084825723197912
btc_close_ma7,0.0010873403673041311
dxy_close_ret30d,0.0009499647770958567
btc_gold_corr30,0.0009455877060970046
btc_close_ma14,0.0008653497413819551
btc_nasdaq_corr30,0.0006798716156475703
btc_close_lag7,0.0006652274693745752
btc_close_lag60,0.0006083668976370114
log_sp500_close,0.0005822575953557153
oil_close_ret30d,0.0005807278189763075
btc_close_lag14,0.0005731406707729763
sp500_close,0.0005346289500527359
btc_close_lag90,0.00042750729745259525
btc_sp500_corr30,0.00040183365776296653
btc_close_lag1,0.00039437943038489584
oil_volume,0.00032360403323677804
krw_close_ret30d,0.0002871413426057051
fear_greed,0.0002739258690401491
btc_close_ret30d,0.00026940476277354577
nasdaq_volume,0.0002526294316258865
macd,0.0002464324067251191
gold_close_ret30d,0.0002275500480985138
sp500_close_ret30d,0.0001979786832754163
macd_signal,0.0001960925485087514
event_covid_crash,0.00017414928791950778
gold_volume,0.00017304545529162974
btc_ma30_pct,0.00017157171145089787
rsi_14,0.0001508635384304625
btc_volume,0.00011112022949707794
nasdaq_close_ret30d,9.361053940078552e-05
macd_hist,8.614385371169048e-05
btc_above_ma200,8.532395134942394e-05
sp500_volume,6.691346942954847e-05
oil_close_ret7d,5.394351634630087e-05
bb_position,5.052554476322751e-05
btc_vol_7d,3.851350364994098e-05
dxy_close_ret7d,3.7586143461095084e-05
sp500_close_ret7d,3.354609162461336e-05
bb_width,2.9821085153730975e-05
btc_above_ma90,2.6989209360005855e-05
nasdaq_close_ret7d,2.491911627391041e-05
btc_close_ret7d,1.4328441228219745e-05
gold_close_ret7d,9.946015811098308e-06
krw_close_ret7d,4.350556266687677e-06
btc_close_ret1d,1.1353477244386164e-06
event_china_btc_ban,0.0
dxy_volume,0.0
event_ukraine_war,0.0
event_luna_terra_crash,0.0
event_ftx_collapse,0.0
event_spot_btc_etf,0.0
gold_close_ret1d,0.0
event_us_election_2024,0.0
halving_era,0.0
btc_above_ma30,0.0
oil_close_ret1d,0.0
nasdaq_close_ret1d,0.0
dxy_close_ret1d,0.0
krw_close_ret1d,0.0
sp500_close_ret1d,0.0
