feature,importance
halving_era,0.07964294
bb_lower,0.031978194
btc_nasdaq_ratio,0.027765738
log_nasdaq_close,0.027562672
days_since_halving,0.023755979
btc_close_ma14,0.022277964
btc_close_lag14,0.022025323
btc_close_ma7,0.021406144
oil_close_ret30d,0.02114622
rsi_14,0.019417549
btc_oil_ratio,0.01919229
btc_gold_ratio,0.01696212
log_dxy_close,0.01628701
gold_close_ret7d,0.015655626
krw_close_ret30d,0.015352381
log_sp500_close,0.014943597
log_oil_close,0.014891642
bb_upper,0.014713567
btc_close_lag30,0.0146457385
nasdaq_close,0.0139166545
btc_sp500_ratio,0.013816116
dxy_close,0.0136543205
btc_nasdaq_corr30,0.01350765
gold_close,0.013182641
nasdaq_volume,0.013114429
btc_vol_30d,0.012987366
bb_width,0.01284798
btc_close_lag90,0.012711213
btc_ma30_pct,0.012408536
btc_close_ma50,0.012279433
sp500_close,0.012065441
btc_vol_60d,0.011955832
btc_oil_corr30,0.011771682
log_krw_close,0.011703875
btc_sp500_corr30,0.011644761
oil_close,0.011581351
btc_vol_7d,0.011578275
btc_close_lag1,0.011356478
btc_close_ret30d,0.011185525
sp500_close_ret30d,0.011182311
log_gold_close,0.011167352
btc_close_ma90,0.011153463
macd_signal,0.0110899415
krw_close,0.011052626
btc_close_ma200,0.010980231
btc_above_ma200,0.010955281
btc_ma90_pct,0.010822383
sp500_volume,0.010535684
btc_close_lag60,0.01043709
nasdaq_close_ret30d,0.01029793
bb_position,0.0099034915
btc_ma200_pct,0.0098013645
dxy_close_ret30d,0.009779472
btc_volume,0.009523021
btc_close_ma30,0.009521028
hashrate,0.009363471
oil_close_ret7d,0.008906692
macd_hist,0.008714015
log_btc_close,0.008663233
btc_gold_corr30,0.008548521
macd,0.008298275
btc_close_ret7d,0.008264894
krw_close_ret7d,0.0077491184
sp500_close_ret7d,0.0074071125
gold_volume,0.0073211994
dxy_close_ret7d,0.006984067
gold_close_ret30d,0.006884846
oil_volume,0.006858183
nasdaq_close_ret7d,0.006300166
krw_close_ret1d,0.005032144
oil_close_ret1d,0.00480221
btc_close_ret1d,0.004723458
sp500_close_ret1d,0.0043162988
nasdaq_close_ret1d,0.0040394864
btc_close_lag7,0.0034149338
gold_close_ret1d,0.003147807
dxy_close_ret1d,0.0026553622
btc_above_ma90,0.00050956215
event_spot_btc_etf,0.0
btc_above_ma30,0.0
event_us_election_2024,0.0
event_luna_terra_crash,0.0
event_ukraine_war,0.0
event_china_btc_ban,0.0
event_covid_crash,0.0
dxy_volume,0.0
event_ftx_collapse,0.0
