feature,importance
days_since_halving,0.38979828391146193
oil_close,0.1847587331413524
log_oil_close,0.175731762546802
btc_ma200_pct,0.05658075300690253
krw_close,0.02340789093853404
log_krw_close,0.02268028714581027
btc_ma90_pct,0.017077222923302566
btc_vol_60d,0.015488878789983476
btc_close_ma200,0.008121311165623276
btc_close_ma14,0.0077615146162766
dxy_close,0.006669538317725336
btc_nasdaq_ratio,0.006605972031260905
btc_oil_ratio,0.005933142344643995
log_dxy_close,0.00583098580931755
bb_lower,0.005241249604503344
btc_volume,0.005163473775286917
btc_close_lag90,0.00471082563669893
btc_vol_30d,0.004296015194729211
btc_gold_corr30,0.0034375345748499852
btc_gold_ratio,0.003385788350732582
hashrate,0.0031437401447966095
btc_close_ma90,0.0029628790272816386
btc_close_ma50,0.002911456661585458
btc_close_ma7,0.002901488130126633
btc_close_ma30,0.0027155955792037357
btc_close_lag60,0.002602106752673629
nasdaq_close,0.0023219331943972314
log_nasdaq_close,0.0021508755316743777
btc_close_lag14,0.0020358546940914862
krw_close_ret30d,0.0014937434125744835
bb_upper,0.0014198343608542929
btc_oil_corr30,0.0013785336512634689
btc_sp500_ratio,0.0013034400765968234
log_btc_close,0.00124010811609043
sp500_close,0.001200616389266008
nasdaq_close_ret30d,0.001168192098140803
btc_close_lag1,0.0010403100052518242
btc_nasdaq_corr30,0.0009888522868242051
oil_volume,0.0009311049512117632
log_sp500_close,0.0009262184861149205
btc_sp500_corr30,0.0008909634195236746
bb_width,0.0008771245197570417
btc_above_ma200,0.0008451193731217142
gold_close_ret30d,0.0007860388769785274
dxy_close_ret30d,0.000758841834683372
macd,0.0007190207519864341
event_covid_crash,0.0007033619343607289
log_gold_close,0.0005463624843795304
macd_signal,0.0005208480008469083
btc_close_lag7,0.000504247436308643
btc_close_lag30,0.00045291239209101924
oil_close_ret30d,0.00042178186353875453
fear_greed,0.00041894864014832095
gold_close,0.00041397490407568254
sp500_close_ret30d,0.0003381053525813615
nasdaq_volume,0.00032200230336310574
btc_ma30_pct,0.0002720599459962516
bb_position,0.00011672030507105858
gold_close_ret7d,0.00010273734094315735
btc_close_ret30d,8.758930359541011e-05
rsi_14,7.728311910921522e-05
macd_hist,7.493033800218653e-05
btc_vol_7d,6.937197565223688e-05
krw_close_ret7d,3.840223571581111e-05
dxy_close_ret7d,2.5158875278420667e-05
oil_close_ret7d,2.1287391461960657e-05
nasdaq_close_ret7d,2.0834057146600776e-05
sp500_volume,1.9071912681642347e-05
gold_volume,1.4177589502919928e-05
btc_close_ret7d,1.3421642982062073e-05
event_ftx_collapse,5.415111835090317e-06
sp500_close_ret7d,3.837391463579362e-06
btc_above_ma30,0.0
btc_above_ma90,0.0
event_ukraine_war,0.0
dxy_volume,0.0
krw_close_ret1d,0.0
event_luna_terra_crash,0.0
dxy_close_ret1d,0.0
nasdaq_close_ret1d,0.0
oil_close_ret1d,0.0
gold_close_ret1d,0.0
btc_close_ret1d,0.0
halving_era,0.0
event_china_btc_ban,0.0
event_us_election_2024,0.0
event_spot_btc_etf,0.0
sp500_close_ret1d,0.0
