feature,importance
halving_era,0.041742504
days_since_halving,0.027791133
log_krw_close,0.019814705
nasdaq_close,0.017800448
log_btc_close,0.017734056
rsi_14,0.017690765
dxy_close,0.017656758
btc_close_ma7,0.016957346
btc_close_lag60,0.016890269
bb_lower,0.016787602
krw_close,0.016541174
sp500_close,0.016381972
krw_close_ret30d,0.016323175
oil_close_ret30d,0.016219012
btc_close_lag90,0.016217157
btc_close_ma30,0.016215649
btc_close_lag14,0.016097715
gold_close,0.015862307
btc_close_ma200,0.015550388
bb_width,0.0152351335
event_ukraine_war,0.015221339
log_dxy_close,0.015186167
btc_nasdaq_corr30,0.015177581
btc_ma90_pct,0.015071055
btc_close_ma14,0.014937815
bb_upper,0.014877771
log_sp500_close,0.014800679
log_oil_close,0.01476021
oil_close,0.014171593
btc_close_lag7,0.01417022
btc_sp500_ratio,0.013499742
btc_oil_corr30,0.013369928
log_nasdaq_close,0.013361255
sp500_close_ret30d,0.013174961
btc_close_ma50,0.013164672
btc_gold_ratio,0.013045514
gold_close_ret7d,0.01279482
btc_close_ma90,0.012644133
btc_close_ret30d,0.012594973
btc_close_lag30,0.012498738
hashrate,0.0124097895
btc_vol_60d,0.012341786
bb_position,0.012103945
oil_volume,0.012051045
btc_sp500_corr30,0.011550299
krw_close_ret7d,0.011523699
btc_vol_7d,0.01151948
sp500_volume,0.011398211
log_gold_close,0.01135894
btc_nasdaq_ratio,0.011278197
macd_signal,0.011049466
gold_volume,0.010958956
btc_volume,0.010879585
btc_gold_corr30,0.010848237
macd_hist,0.010696192
btc_vol_30d,0.010552391
gold_close_ret30d,0.0101481555
btc_ma200_pct,0.0098260315
btc_oil_ratio,0.009794073
dxy_close_ret30d,0.009245161
nasdaq_close_ret30d,0.009234677
nasdaq_volume,0.008880515
oil_close_ret7d,0.008566623
btc_above_ma90,0.008437444
btc_ma30_pct,0.008336698
fear_greed,0.008260902
dxy_close_ret7d,0.008255799
nasdaq_close_ret7d,0.007997977
sp500_close_ret7d,0.007927159
btc_close_ret7d,0.00738626
btc_close_lag1,0.0069897203
macd,0.0066325
btc_close_ret1d,0.0062772436
gold_close_ret1d,0.0060591465
event_luna_terra_crash,0.0053219385
krw_close_ret1d,0.004938363
sp500_close_ret1d,0.0046752654
nasdaq_close_ret1d,0.0042556575
btc_above_ma30,0.0
event_spot_btc_etf,0.0
event_ftx_collapse,0.0
btc_above_ma200,0.0
event_us_election_2024,0.0
oil_close_ret1d,0.0
event_china_btc_ban,0.0
event_covid_crash,0.0
dxy_volume,0.0
dxy_close_ret1d,0.0
