feature,importance
days_since_halving,0.39224323641219505
oil_close,0.08155749888900547
log_oil_close,0.07456591384109153
btc_gold_ratio,0.060216912670503844
btc_close_ma200,0.053556602442820705
btc_ma90_pct,0.038118741678680144
btc_vol_30d,0.032134075686785085
btc_ma200_pct,0.02986004397194545
btc_close_ma50,0.02501329524237082
macd_signal,0.014793400993220709
oil_volume,0.014180232625737303
log_krw_close,0.012718320397493101
krw_close,0.011966420416219191
btc_oil_corr30,0.01120794086607017
btc_close_ma90,0.010577545165685548
log_btc_close,0.008978888139336212
log_dxy_close,0.008469408303218956
dxy_close,0.006949254226260641
btc_vol_60d,0.006829325829172843
hashrate,0.006771912655445166
dxy_close_ret30d,0.006659089464310729
btc_close_ma7,0.006171305988828696
btc_oil_ratio,0.006012892592802559
btc_sp500_corr30,0.005738246391794343
btc_close_ret30d,0.0047676350596894635
oil_close_ret30d,0.00466538552457336
bb_width,0.004310594895061975
sp500_close_ret30d,0.003987901799657987
btc_close_lag1,0.002998072806190449
btc_close_lag30,0.0028338682363125037
btc_nasdaq_corr30,0.002820805228084576
btc_ma30_pct,0.00279284023825549
btc_close_lag60,0.002672998945812447
bb_upper,0.0025560022215678707
macd,0.0025019642369399054
btc_gold_corr30,0.0024247085234848373
gold_close,0.0023607120106470245
fear_greed,0.002319427870237083
log_gold_close,0.0022589122036487928
nasdaq_close_ret30d,0.0022505818839963386
btc_volume,0.0022037644199123614
btc_close_lag90,0.002139051312169057
bb_lower,0.0021131789371969497
nasdaq_close,0.0016043699860627488
gold_close_ret30d,0.001399193617950973
log_nasdaq_close,0.001398930021651887
btc_close_ma14,0.0013931994184542757
nasdaq_volume,0.0013148565756595316
sp500_close,0.0012852807739105031
btc_nasdaq_ratio,0.0011363767319731515
log_sp500_close,0.0011197660124052937
btc_close_ma30,0.0010970656023578153
macd_hist,0.0010270097441142424
krw_close_ret30d,0.0010034184548362057
rsi_14,0.0009073157801815635
gold_volume,0.0007857831367550581
btc_sp500_ratio,0.0007367169546218199
bb_position,0.0005304587949179923
btc_close_lag14,0.0004961000571741454
gold_close_ret7d,0.00036040095206834515
dxy_close_ret7d,0.0002763122639902992
btc_close_lag7,0.000275076894599528
sp500_close_ret7d,0.00024562444907700237
sp500_volume,0.00023172673440255474
oil_close_ret7d,0.00021292306540897347
btc_vol_7d,0.0001938203577457054
btc_above_ma200,0.00018391388974822902
nasdaq_close_ret7d,0.00017950174740961704
krw_close_ret7d,0.00010560584881028732
btc_close_ret7d,9.90387721089072e-05
event_luna_terra_crash,6.34079021913643e-05
event_ukraine_war,5.7255716030204434e-05
btc_above_ma90,4.427975687459972e-06
btc_above_ma30,3.3579417576188307e-06
oil_close_ret1d,2.85258150394459e-06
event_china_btc_ban,0.0
event_covid_crash,0.0
event_ftx_collapse,0.0
dxy_volume,0.0
event_spot_btc_etf,0.0
event_us_election_2024,0.0
halving_era,0.0
krw_close_ret1d,0.0
btc_close_ret1d,0.0
dxy_close_ret1d,0.0
nasdaq_close_ret1d,0.0
gold_close_ret1d,0.0
sp500_close_ret1d,0.0
