feature,importance
bb_upper,0.07308036
oil_close,0.050228674
days_since_halving,0.04351633
btc_close_lag30,0.042549465
log_oil_close,0.04150476
btc_close_ma90,0.03499682
btc_close_ma30,0.031892586
btc_volume,0.03168701
btc_above_ma200,0.02765853
log_dxy_close,0.026550189
btc_close_ma14,0.025060346
btc_close_lag60,0.024443101
hashrate,0.022942789
log_gold_close,0.02195062
dxy_close,0.021273406
btc_close_ma50,0.02053772
gold_close,0.019895684
btc_above_ma90,0.019483624
btc_close_ma200,0.01909098
halving_era,0.018604344
btc_close_ma7,0.018032083
krw_close,0.017304383
log_btc_close,0.017268563
btc_ma200_pct,0.016048497
btc_gold_ratio,0.015978148
btc_close_lag90,0.015672227
bb_width,0.015424069
btc_ma90_pct,0.01528632
log_krw_close,0.012956242
nasdaq_close,0.012780464
btc_oil_corr30,0.012473296
btc_close_lag7,0.012324393
bb_lower,0.011832742
btc_nasdaq_ratio,0.011475343
btc_close_lag1,0.010829001
btc_vol_30d,0.009777934
btc_nasdaq_corr30,0.009765508
btc_sp500_ratio,0.009153607
btc_oil_ratio,0.008530728
gold_close_ret30d,0.008511873
btc_gold_corr30,0.008193209
fear_greed,0.0075236736
oil_close_ret30d,0.007302084
nasdaq_volume,0.0072327754
btc_sp500_corr30,0.0051882644
dxy_close_ret30d,0.0050221966
btc_vol_60d,0.0046495246
macd,0.0045174058
rsi_14,0.0043529244
btc_vol_7d,0.004327222
sp500_close_ret30d,0.0042281924
btc_close_ret30d,0.0037605455
log_sp500_close,0.0036299932
log_nasdaq_close,0.0034364287
sp500_close,0.0034218463
krw_close_ret30d,0.0033984927
macd_hist,0.0033822206
btc_ma30_pct,0.0033304642
oil_close_ret7d,0.003113115
btc_close_lag14,0.0030923444
gold_close_ret7d,0.0029990438
nasdaq_close_ret30d,0.0029522385
oil_volume,0.0026919013
event_covid_crash,0.002603851
btc_close_ret7d,0.0025668545
sp500_volume,0.0023565998
macd_signal,0.002065107
sp500_close_ret7d,0.0020448817
bb_position,0.0019666597
btc_close_ret1d,0.001266308
gold_volume,0.0012134281
krw_close_ret7d,0.0011816613
nasdaq_close_ret7d,0.0009355849
btc_above_ma30,0.0008956384
sp500_close_ret1d,0.00078459363
event_luna_terra_crash,0.0
nasdaq_close_ret1d,0.0
gold_close_ret1d,0.0
dxy_volume,0.0
dxy_close_ret1d,0.0
event_china_btc_ban,0.0
dxy_close_ret7d,0.0
event_ftx_collapse,0.0
event_ukraine_war,0.0
event_spot_btc_etf,0.0
event_us_election_2024,0.0
krw_close_ret1d,0.0
oil_close_ret1d,0.0
