feature,importance
log_oil_close,0.2349297
oil_close,0.16925867
dxy_close,0.0886409
log_dxy_close,0.060130738
days_since_halving,0.04026587
log_krw_close,0.03207241
btc_vol_30d,0.029039193
log_nasdaq_close,0.0236701
krw_close,0.02283058
btc_close_ma14,0.01988772
btc_close_lag1,0.019447898
btc_above_ma200,0.019273775
btc_nasdaq_ratio,0.016902542
log_sp500_close,0.015900478
btc_oil_ratio,0.014762778
btc_close_lag7,0.012834472
btc_vol_60d,0.01235872
log_gold_close,0.011899997
sp500_close,0.011875573
btc_sp500_ratio,0.011694833
btc_close_ma30,0.011590294
btc_close_ma90,0.0112748975
btc_close_lag14,0.010770117
bb_upper,0.009667799
event_covid_crash,0.0077701746
btc_close_ma50,0.006660273
btc_ma200_pct,0.0065442845
btc_close_lag30,0.0064390614
log_btc_close,0.006364556
nasdaq_close,0.006338585
hashrate,0.006039008
btc_gold_ratio,0.0056129633
btc_close_ma7,0.005550532
gold_close,0.0054218275
sp500_volume,0.0033558533
bb_lower,0.0032066684
btc_close_ma200,0.0027511178
btc_close_lag60,0.002134292
nasdaq_volume,0.0021134382
btc_close_lag90,0.0018185102
btc_ma90_pct,0.0012394851
dxy_close_ret30d,0.0011282251
btc_vol_7d,0.00063701806
bb_width,0.0005413717
gold_close_ret30d,0.0005385473
bb_position,0.00052505266
btc_ma30_pct,0.00048516504
oil_close_ret30d,0.00042519404
krw_close_ret30d,0.00042298774
macd,0.00040757773
btc_volume,0.00037941482
rsi_14,0.00035880218
btc_gold_corr30,0.00034720293
btc_oil_corr30,0.00029139497
sp500_close_ret30d,0.00028870915
btc_sp500_corr30,0.000288131
btc_close_ret30d,0.00024245225
sp500_close_ret7d,0.00023624557
macd_signal,0.00022813727
oil_close_ret7d,0.0002209706
oil_volume,0.00021909187
krw_close_ret7d,0.0002089683
gold_close_ret7d,0.00020232188
btc_nasdaq_corr30,0.00018817565
nasdaq_close_ret7d,0.00017250137
nasdaq_close_ret30d,0.00016407926
gold_volume,0.0001592697
dxy_close_ret7d,0.000117387615
btc_close_ret7d,0.00010271607
macd_hist,6.946944e-05
krw_close_ret1d,6.262655e-05
gold_close_ret1d,0.0
event_ftx_collapse,0.0
dxy_close_ret1d,0.0
nasdaq_close_ret1d,0.0
dxy_volume,0.0
event_china_btc_ban,0.0
event_ukraine_war,0.0
event_luna_terra_crash,0.0
event_us_election_2024,0.0
event_spot_btc_etf,0.0
btc_above_ma90,0.0
halving_era,0.0
btc_above_ma30,0.0
btc_close_ret1d,0.0
oil_close_ret1d,0.0
sp500_close_ret1d,0.0
